name,telephone,image,street_address,city,state,postal_code,country,full_address,latitude,longitude,area_served,facebook,twitter,linkedin,website,houzz_profile,category
The Little Design Story,093722 93852,https://st.hzcdn.com/simgs/31e31a9e0c666c67_0-8660/_.jpg,"Off New Link Road, Andheri West ",Mumbai,Maharashtra,400053,IN,"Off New Link Road, Andheri West , Mumbai, Maharashtra, 400053",19.1334,72.8319,500009,,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/the-little-design-story-pfvwin-pf~1672817530,interior-designers
Bela decore,070005 84106,https://st.hzcdn.com/simgs/cde35e6601196569_0-4313/_.jpg,SCHEME NO.71 Gumasta Nagar,Indore,Madhya Pradesh,452001,IN,"SCHEME NO.71 Gumasta Nagar, Indore, Madhya Pradesh, 452001",22.7049,75.8871,500009,,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/bela-decore-pfvwin-pf~1866670508,interior-designers
BRDESIGNS,082788 13663,https://st.hzcdn.com/simgs/e7439c920203e014_0-2557/_.jpg,"Chandigarh Mohali, Phase 2",Chandigarh,Chandigarh,160055,IN,"Chandigarh Mohali, Phase 2, Chandigarh, Chandigarh, 160055",,,500009,,,https://www.linkedin.com/in/bhawana-rana-964160284/,https://instagram.com/br_design2021?igshid=OGQ5ZDc2ODk2ZA==,https://www.houzz.in/professionals/interior-designers-and-decorators/brdesigns-pfvwin-pf~944095347,interior-designers
Entracte,098441 18850,https://st.hzcdn.com/simgs/657312490c23436a_0-4895/_.jpg, ,Bangalore Urban,Kerala,560066,IN," , Bangalore Urban, Kerala, 560066",,,500009,https://www.facebook.com/Entracte.Design/,,,www.entracte.in,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/entracte-pfvwus-pf~126171652,interior-designers
Aditi Lawate Design,086988 75075,https://st.hzcdn.com/simgs/c6a3e88b0c95e197_0-7172/_.jpg,Koregaon Park ,Pune,,411001,IN,"Koregaon Park , Pune, 411001",18.5229,73.8853,500009,,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/aditi-lawate-design-pfvwin-pf~788961108,interior-designers
Limited Edition Design Studio,089760 09735,https://st.hzcdn.com/simgs/7ef309bb0981d432_0-8106/_.jpg, ,Mumbai,Maharashtra,400056,IN," , Mumbai, Maharashtra, 400056",19.1032,72.8361,500009,https://www.facebook.com/Limitededitiondesignstudio/,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/limited-edition-design-studio-pfvwin-pf~187276510,interior-designers
Kreon Projects,086898 58280,https://st.hzcdn.com/simgs/c0432c7b08fe0160_0-3786/_.jpg, ,Kalyan,Maharashtra,421306,IN," , Kalyan, Maharashtra, 421306",,,500009,https://www.facebook.com/kreonprojects/,,,https://www.kreonprojects.com/,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/kreon-projects-pfvwus-pf~755712825,interior-designers
Inscape Designers,098194 30457,https://st.hzcdn.com/simgs/4143004d0c57f90f_0-3752/_.jpg,"Shiv Sagar Estate, D Block, 3rd Floor, Above Jeep showroom, Opp. Atria Mall, Dr. Annie Besant Road, Worli 400030 Mumbai, Maharashtra ",Mumbai,Maharashtra,400030,IN,"Shiv Sagar Estate, D Block, 3rd Floor, Above Jeep showroom, Opp. Atria Mall, Dr. Annie Besant Road, Worli 400030 Mumbai, Maharashtra , Mumbai, Maharashtra, 400030",,,500009,www.facebook.com/www.inscapedesigners.in,,https://www.linkedin.com/in/chaitaliparikh/,,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/inscape-designers-pfvwus-pf~185071906,interior-designers
Wonder Living,093725 38056,https://st.hzcdn.com/simgs/1ea3990a00b0909d_0-1064/_.jpg,"Shop no. 12, Indira market, d.k.sandu marg, chembur east. ",Mumbai,Maharashtra,400050,IN,"Shop no. 12, Indira market, d.k.sandu marg, chembur east. , Mumbai, Maharashtra, 400050",,,500009,,,https://www.linkedin.com/in/wasif-ansari-b61aa7238/,www.wonderliving.co.in,https://www.houzz.in/professionals/interior-designers-and-decorators/wonder-living-pfvwin-pf~599798898,interior-designers
Madhyan Creative Spaces,091827 47624,https://st.hzcdn.com/simgs/c863162a00ab93bd_0-2469/_.jpg,Nanakramguda circle Serilingampally,Hyderabad,Telangana,500032,IN,"Nanakramguda circle Serilingampally, Hyderabad, Telangana, 500032",17.433,78.3503,500009,,,,Www.madhurshriyan.com,https://www.houzz.in/professionals/interior-designers-and-decorators/madhyan-creative-spaces-pfvwin-pf~1579522664,interior-designers
